Scheme Name,Net Asset Value
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.7909
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.9005
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.2010
 
HDFC Mutual Fund
 
HDFC Corporate Bond Fund - Growth Option,27.5806
HDFC Corporate Bond Fund - Growth Option - Direct Plan,28.0355
HDFC Corporate Bond Fund - IDCW Option,17.8675
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,18.348
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.4577
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.2975
 
HSBC Mutual Fund
 
HSBC Corporate Bond Fund - Direct Annual IDCW,11.9355
HSBC Corporate Bond Fund - Direct Growth,66.3194
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.5320
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.0956
HSBC Corporate Bond Fund - Regular Annual IDCW,11.7600
HSBC Corporate Bond Fund - Regular Growth,62.7103
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.1809
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.9646
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.8208
 
ICICI Prudential Mutual Fund
 
ICICI Prudential Corporate Bond Fund - Bonus,14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,26.3661
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2648
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.1478
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243
ICICI Prudential Corporate Bond Fund - Growth,25.2903
